City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
130,Port Elizabeth,ZA,-33.918,25.5701,64.31,90,32,3.0,scattered clouds
131,Sabang,ID,5.8933,95.3214,80.35,77,100,10.98,overcast clouds
132,Bandar,ID,2.05,99.75,71.46,95,100,1.36,overcast clouds
133,Porto Nacional,BR,-10.7081,-48.4172,91.4,76,13,3.2,few clouds
134,Arecibo,PR,18.4724,-66.7157,84.29,72,73,3.0,broken clouds
135,Iqaluit,CA,63.7506,-68.5145,28.13,86,75,16.11,broken clouds
136,Hualmay,PE,-11.0964,-77.6139,73.02,76,18,10.11,few clouds
137,Mar Del Plata,AR,-38.0023,-57.5575,71.62,77,75,18.99,broken clouds
138,Isangel,VU,-19.55,169.2667,81.59,81,100,8.79,overcast clouds
139,Kruisfontein,ZA,-34.0033,24.7314,60.89,82,93,4.68,overcast clouds
140,Codrington,AU,-38.2667,141.9667,58.17,84,100,4.97,overcast clouds
141,Pacifica,US,37.6138,-122.4869,77.61,68,20,20.71,haze
142,Salvador,SV,13.8333,-88.9167,86.05,32,9,10.27,clear sky
143,Buraydah,SA,26.326,43.975,77.45,10,76,8.32,broken clouds
144,Qaanaaq,GL,77.484,-69.3632,13.96,74,88,6.38,overcast clouds
145,Taos,US,36.4072,-105.5731,64.2,26,0,10.0,clear sky
146,Maragogi,BR,-9.0122,-35.2225,78.35,83,50,9.28,scattered clouds
147,Innisfail,AU,-17.5333,146.0333,75.13,89,55,3.56,broken clouds
148,Gorontalo,ID,0.5412,123.0595,74.86,94,91,2.17,overcast clouds
149,Te Anau,NZ,-45.4167,167.7167,51.01,62,47,1.19,scattered clouds
150,Kulhudhuffushi,MV,6.6221,73.07,82.87,71,10,4.18,clear sky
151,Ribeira Grande,PT,38.5167,-28.7,63.0,72,20,12.66,few clouds
152,Vila Velha,BR,-20.3297,-40.2925,84.15,80,20,8.05,few clouds
153,Carnarvon,AU,-24.8667,113.6333,77.07,83,40,11.5,scattered clouds
154,Swan Hill,AU,-35.3378,143.5544,55.22,85,0,3.36,clear sky
155,Los Llanos De Aridane,ES,28.6585,-17.9182,58.12,97,75,14.0,broken clouds
156,Porto Novo,BJ,6.4965,2.6036,84.02,82,96,9.15,overcast clouds
157,Norman Wells,CA,65.282,-126.8329,-0.36,50,75,2.3,broken clouds
158,Qaqortoq,GL,60.7167,-46.0333,39.61,77,100,3.29,overcast clouds
159,Castro,BR,-24.7911,-50.0119,68.02,87,75,4.5,broken clouds
160,Krishnanagar,IN,23.4,88.5,80.24,77,45,12.95,scattered clouds
161,Kargil,IN,34.5667,76.1,21.9,70,16,3.94,few clouds
162,Changzhou,CN,31.7833,119.9667,44.37,71,66,6.51,broken clouds
163,General Roca,AR,-39.0333,-67.5833,65.97,16,42,20.62,scattered clouds
164,Kismayo,SO,-0.3582,42.5454,80.78,80,59,10.96,broken clouds
165,Port Lincoln,AU,-34.7333,135.8667,58.51,83,1,3.18,clear sky
166,Caxito,AO,-8.5785,13.6643,74.55,93,76,4.45,broken clouds
167,Vega Baja,PR,18.4444,-66.3877,84.78,82,22,5.01,few clouds
168,Tigre,AR,-34.426,-58.5796,68.22,91,97,4.05,light rain
169,Omboue,GA,-1.5746,9.2618,77.9,88,85,4.65,overcast clouds
170,Hobyo,SO,5.3505,48.5268,81.36,75,20,9.53,few clouds
171,Katsuura,JP,35.1333,140.3,48.22,88,100,17.87,light rain
172,Porto Santo,PT,33.072,-16.3415,61.18,67,75,32.21,broken clouds
173,Soyo,AO,-6.1349,12.3689,78.75,90,44,9.53,scattered clouds
174,Kenai,US,60.5544,-151.2583,41.02,60,20,10.36,few clouds
175,Ormara,PK,25.2088,64.6357,77.38,69,3,6.46,clear sky
176,Khani,GE,41.9563,42.9566,45.97,87,97,5.1,overcast clouds
177,Azangaro,PE,-14.9167,-70.2167,51.04,71,89,8.81,heavy intensity rain
178,Maceio,BR,-9.6658,-35.7353,78.24,83,75,6.91,broken clouds
179,Phetchabun,TH,16.25,101.0833,73.74,50,100,5.73,overcast clouds
180,Jamestown,US,42.097,-79.2353,35.19,74,100,11.5,mist
181,Sereflikochisar,TR,38.9393,33.5386,54.73,44,100,13.15,overcast clouds
182,Maracacume,BR,-2.0428,-45.9592,76.42,94,93,4.25,light rain
183,Bengkulu,ID,-3.8004,102.2655,76.53,83,100,4.81,overcast clouds
184,Zunyi,CN,27.6867,106.9072,53.19,72,100,2.95,overcast clouds
185,Broken Hill,AU,-31.95,141.4333,53.31,76,0,0.0,clear sky
186,Henderson,US,36.0397,-114.9819,81.82,22,0,6.91,clear sky
187,Saint-Augustin,CA,51.226,-58.6502,36.21,86,68,14.76,broken clouds
188,Minuri,PH,16.535,121.8574,71.28,97,100,0.36,overcast clouds
189,Ghoti,IN,19.7168,73.6245,75.7,49,0,2.13,clear sky
190,Reitz,ZA,-27.8014,28.4273,55.45,94,100,2.26,light rain
191,Seversk,RU,56.6006,84.8864,29.35,94,100,5.61,overcast clouds
192,Alofi,NU,-19.0595,-169.9187,80.49,78,75,6.91,broken clouds
193,Naliya,IN,23.2667,68.8333,76.24,71,2,7.72,clear sky
194,Acarau,BR,-2.8856,-40.12,78.73,86,26,11.45,heavy intensity rain
195,Flinders,AU,-34.5833,150.8552,63.37,77,1,5.01,clear sky
196,Galesti,RO,46.5167,24.75,32.49,85,100,9.4,overcast clouds
197,Papara,BR,-3.9839,-38.7273,81.0,94,53,2.93,broken clouds
198,Cherskiy,RU,68.75,161.3,-1.48,96,100,4.5,overcast clouds
199,Upington,ZA,-28.4478,21.2561,62.98,55,0,4.61,clear sky
200,Umea,SE,63.8284,20.2597,27.91,100,0,2.3,clear sky
201,Dunyapur,PK,29.7995,71.7196,76.75,10,6,6.91,clear sky
202,Mecca,SA,21.4267,39.8261,83.26,30,91,4.97,overcast clouds
203,Alice Springs,AU,-23.7,133.8833,49.55,57,0,0.0,clear sky
204,Samarai,PG,-10.6167,150.6667,80.8,77,89,9.91,overcast clouds
205,Ahipara,NZ,-35.1667,173.1667,68.61,77,2,2.53,clear sky
206,Erenhot,CN,43.6475,111.9767,44.13,26,40,13.71,scattered clouds
207,Llanes,ES,43.4198,-4.7549,43.77,71,76,12.68,broken clouds
208,Hongjiang,CN,27.11,109.9956,54.3,77,1,2.01,clear sky
209,Peniche,PT,39.3558,-9.3811,55.29,66,80,22.32,broken clouds
210,Plouzane,FR,48.3833,-4.6167,39.25,73,0,5.75,clear sky
211,Jardim,BR,-21.4803,-56.1381,83.16,61,43,3.69,scattered clouds
212,Quatre Cocos,MU,-20.2078,57.7625,79.09,78,29,12.03,scattered clouds
213,Lethem,GY,3.3803,-59.7968,80.28,71,99,5.86,overcast clouds
214,Porangatu,BR,-13.4408,-49.1486,78.06,67,28,3.31,scattered clouds
215,Puerto Colombia,CO,10.9878,-74.9547,84.29,78,73,22.93,broken clouds
216,Kyren,RU,51.6828,102.1408,26.19,96,100,3.71,light snow
217,Puerto Leguizamo,CO,-0.1934,-74.7819,83.95,63,100,2.15,overcast clouds
218,Geraldton,AU,-28.7667,114.6,72.01,83,100,16.11,overcast clouds
219,Kavaratti,IN,10.5669,72.642,82.17,72,79,7.02,broken clouds
220,Saryg-Sep,RU,51.5,95.6,26.19,95,100,2.01,overcast clouds
221,Aquiraz,BR,-3.9014,-38.3911,82.49,87,40,9.64,scattered clouds
222,Ambulu,ID,-8.345,113.6058,74.19,92,7,3.18,clear sky
223,Haines Junction,CA,60.7522,-137.5108,39.15,48,100,2.3,overcast clouds
224,Bafoulabe,ML,13.8065,-10.8321,94.93,13,94,8.1,overcast clouds
225,Talnakh,RU,69.4865,88.3972,0.3,98,87,6.64,overcast clouds
226,Shangqiu,CN,34.45,115.65,46.35,70,86,8.46,overcast clouds
227,Adrar,MR,20.5022,-10.0711,80.6,12,0,11.54,clear sky
228,Sobolevo,RU,54.4299,31.8996,25.09,89,100,6.64,overcast clouds
229,Klaksvik,FO,62.2266,-6.589,45.52,98,100,18.57,overcast clouds
230,Pochutla,MX,15.7432,-96.4661,90.82,36,5,8.77,clear sky
231,Abapo,BO,-18.8333,-63.4667,82.8,42,68,11.3,broken clouds
232,Maneromango,TZ,-7.1988,38.7848,71.01,94,11,3.65,few clouds
233,Ilulissat,GL,69.2167,-51.1,30.22,74,75,9.22,broken clouds
234,Gasa,PS,31.5,34.4667,63.21,64,100,6.4,overcast clouds
235,Cambridge,CA,43.3601,-80.3127,40.96,76,100,13.8,overcast clouds
236,Ayan,RU,56.45,138.1667,25.57,94,100,21.0,light snow
237,Vestmannaeyjar,IS,63.4427,-20.2734,42.89,81,100,17.76,overcast clouds
238,Sao Luiz Gonzaga,BR,-28.4083,-54.9608,70.52,93,79,4.79,broken clouds
239,Parabel,RU,58.6978,81.4825,21.4,92,100,7.83,overcast clouds
240,Vandra,EE,58.6481,25.0361,29.86,92,46,4.74,scattered clouds
241,Zonhoven,BE,50.9914,5.3709,38.98,81,69,5.3,broken clouds
242,Maua,BR,-23.6678,-46.4614,73.2,94,86,6.53,overcast clouds
243,Belaya Gora,RU,68.5333,146.4167,-17.25,100,97,0.92,overcast clouds
244,Shahrud,IR,36.4182,54.9763,63.75,23,0,2.66,clear sky
245,Kuala Kangsar,MY,4.7667,100.9333,76.95,98,92,1.1,overcast clouds
246,Honolulu,US,21.3069,-157.8583,80.42,60,40,18.41,scattered clouds
247,Oranjemund,NA,-28.55,16.4333,59.86,92,1,4.05,clear sky
248,Andros Town,BS,24.7,-77.7667,84.16,69,81,8.97,broken clouds
249,Vanimo,PG,-2.6741,141.3028,77.36,87,100,2.42,moderate rain
250,Isabela,PH,6.7085,121.9711,78.37,85,98,0.76,moderate rain
251,Kandla,IN,23.0333,70.2167,80.2,54,0,10.94,clear sky
252,Lewiston,US,44.1003,-70.2148,50.34,37,0,4.61,clear sky
253,Gairo,IT,39.8497,9.5047,42.01,65,100,4.54,overcast clouds
254,Srivardhan,IN,18.0333,73.0167,77.95,79,13,6.87,few clouds
255,Visby,SE,57.6409,18.296,37.81,80,20,10.36,few clouds
256,Formosa Do Rio Preto,BR,-11.0483,-45.1931,81.43,51,73,3.2,broken clouds
257,Sitka,US,57.0531,-135.33,40.89,75,100,24.16,light rain
258,Bethel,US,41.3712,-73.414,43.02,88,100,0.0,overcast clouds
259,Kabinda,CD,-6.1333,24.4833,66.99,89,100,1.88,overcast clouds
260,San Juan,AR,-31.5375,-68.5364,69.75,30,2,20.24,clear sky
261,Terenos,BR,-20.4422,-54.8603,83.91,74,75,4.61,thunderstorm
