City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
109,Khipro,PK,80.47,clear sky,25.8285,69.3772,Mukesh Bhojraj Khatri Graphix Khipro
110,Hithadhoo,MV,82.87,scattered clouds,-0.6,73.0833,Scoop Guest House
119,Chake Chake,TZ,80.08,broken clouds,-5.2459,39.7666,Hotel Archipelago
121,Jasidih,IN,78.67,clear sky,24.5167,86.65,OYO 18873 Hotel Comfort
123,Malpe,IN,79.9,broken clouds,13.35,74.7167,Hotel Sri Krishna Residency
129,Mahebourg,MU,79.25,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
131,Sabang,ID,80.35,overcast clouds,5.8933,95.3214,Hotel Citra
133,Porto Nacional,BR,91.4,few clouds,-10.7081,-48.4172,Vila Real Hotel
134,Arecibo,PR,84.29,broken clouds,18.4724,-66.7157,Atlantic Sand Oasis
138,Isangel,VU,81.59,overcast clouds,-19.55,169.2667,Tanna Lodge
141,Pacifica,US,77.61,haze,37.6138,-122.4869,"Pacifica Lighthouse, Trademark Collection by Wyndham"
142,Salvador,SV,86.05,clear sky,13.8333,-88.9167,Chico's Ranch
143,Buraydah,SA,77.45,broken clouds,26.326,43.975,Mövenpick Qassim
146,Maragogi,BR,78.35,scattered clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
147,Innisfail,AU,75.13,broken clouds,-17.5333,146.0333,Moondarra Motel
150,Kulhudhuffushi,MV,82.87,clear sky,6.6221,73.07,Haajy Guest House 1
152,Vila Velha,BR,84.15,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
153,Carnarvon,AU,77.07,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
156,Porto Novo,BJ,84.02,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
160,Krishnanagar,IN,80.24,scattered clouds,23.4,88.5,SPOT ON 65884 New City Hotel & Lodge
164,Kismayo,SO,80.78,broken clouds,-0.3582,42.5454,Agan-Hotel
167,Vega Baja,PR,84.78,few clouds,18.4444,-66.3877,Buena vista
169,Omboue,GA,77.9,overcast clouds,-1.5746,9.2618,Hotel Olako
170,Hobyo,SO,81.36,few clouds,5.3505,48.5268,Iftin hotel hobyo
173,Soyo,AO,78.75,scattered clouds,-6.1349,12.3689,Hotel Mpampa
175,Ormara,PK,77.38,clear sky,25.2088,64.6357,Kenara Colony house for Rent
178,Maceio,BR,78.24,broken clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
182,Maracacume,BR,76.42,light rain,-2.0428,-45.9592,Hotel Ramos
183,Bengkulu,ID,76.53,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
186,Henderson,US,81.82,clear sky,36.0397,-114.9819,Hawthorn Suites By Wyndham Las Vegas/Henderson
189,Ghoti,IN,75.7,clear sky,19.7168,73.6245,Dewdrops Boutique Retreat
192,Alofi,NU,80.49,broken clouds,-19.0595,-169.9187,Taloa Heights
193,Naliya,IN,76.24,clear sky,23.2667,68.8333,jadeja jayendrasinh
194,Acarau,BR,78.73,heavy intensity rain,-2.8856,-40.12,castelo pizzaria
197,Papara,BR,81.0,broken clouds,-3.9839,-38.7273,Bela vista Maranguape
201,Dunyapur,PK,76.75,clear sky,29.7995,71.7196,Ghulam Abbas House
202,Mecca,SA,83.26,overcast clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
204,Samarai,PG,80.8,overcast clouds,-10.6167,150.6667,Nuli Sapi
211,Jardim,BR,83.16,scattered clouds,-21.4803,-56.1381,Estancia Hotel - Jardim MS
212,Quatre Cocos,MU,79.09,scattered clouds,-20.2078,57.7625,Sunrise Attitude Hotel
213,Lethem,GY,80.28,overcast clouds,3.3803,-59.7968,Savannah Inn
214,Porangatu,BR,78.06,scattered clouds,-13.4408,-49.1486,Wembley Park Hotel
215,Puerto Colombia,CO,84.29,broken clouds,10.9878,-74.9547,Hotel El Emigrante
217,Puerto Leguizamo,CO,83.95,overcast clouds,-0.1934,-74.7819,la casona de juancho
219,Kavaratti,IN,82.17,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
221,Aquiraz,BR,82.49,scattered clouds,-3.9014,-38.3911,Pousada Rua Camurupim
224,Bafoulabe,ML,94.93,overcast clouds,13.8065,-10.8321,Logement du Chargé SIS Abdoul Karim Konaté
230,Pochutla,MX,90.82,clear sky,15.7432,-96.4661,Hotel Posada San Jose
245,Kuala Kangsar,MY,76.95,overcast clouds,4.7667,100.9333,"KS Lavender Homestay, Kuala Kangsar"
246,Honolulu,US,80.42,scattered clouds,21.3069,-157.8583,Aston at the Executive Centre Hotel
248,Andros Town,BS,84.16,broken clouds,24.7,-77.7667,Hanks place
249,Vanimo,PG,77.36,moderate rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
250,Isabela,PH,78.37,moderate rain,6.7085,121.9711,Isawad Resort
251,Kandla,IN,80.2,clear sky,23.0333,70.2167,Ramju Chawala
254,Srivardhan,IN,77.95,few clouds,18.0333,73.0167,Savli Resort/Hotel - Shrivardhan
256,Formosa Do Rio Preto,BR,81.43,broken clouds,-11.0483,-45.1931,Porto Center Hotel
261,Terenos,BR,83.91,thunderstorm,-20.4422,-54.8603,Rancho Pitzer
264,Ojinaga,MX,91.58,clear sky,29.5667,-104.4167,Suites Las Palmas
